nan	ArAr80Di	Y89Di	In113Di	In115Di	I127Di	Xe131Di	Xe134Di	Ba138Di	Pr141Di	Nd142Di	Nd143Di	Nd144Di	Nd145Di	Nd146Di	Sm147Di	Nd148Di	Sm149Di	Nd150Di	Eu151Di	Sm152Di	Eu153Di	Sm154Di	Gd155Di	Gd156Di	Gd157Di	Gd158Di	Tb159Di	Gd160Di	Dy161Di	Dy162Di	Dy163Di	Dy164Di	Ho165Di	Er166Di	Er167Di	Er168Di	Tm169Di	Er170Di	Yb171Di	Yb172Di	Yb173Di	Yb174Di	Lu175Di	Yb176Di	BCKG190Di	Ir191Di	Ir193Di	Pt194Di	Pb208Di
Gd155Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.001504223	0.000964953	0	0	0.000522657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gd156Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000368484	0.008532399	1	0.029089582	0.009167821	0	0.002687231	0	0	0	0	0	0	0	0	0	0	0	0.000153159	0	0	0	0	0	0	0	0	0
Gd157Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000308816	0.002416331	0.020852309	1	0.063907447	0	0.004642666	0	0	0	0	0	0	0	0	0	0	0	0	0.000169637	0	0	0	0	0	0	0	0
Gd158Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000902663	0.002279174	0.009820997	1	0.001290126	0.007061209	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000156764	0	0	0	0	0	0	0
Tb159Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.001228156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gd160Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017667	0.001534033	0.002697678	0.002347062	0.007746164	0.000382539	1	0.001345722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dy161Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.64E-05	0	0.002140804	1	0.028407217	0.008202677	0.004707595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dy162Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000438944	0.014921165	1	0.044000761	0.00816022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dy163Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000352829	0.003555176	0.012201651	1	0.018547332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dy164Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000101863	0	0	0	0.000128731	0.001487277	0.003382737	0.010186795	1	0.001714868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ho165Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000210531	1	0.001738118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Er166Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000254483	0.000219664	1	0.015147106	0.004412573	0	0.000977689	0	0	0	0	0	0	0	0	0	0	0
Er167Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010005954	1	0.02808449	0	0.001979994	0	0	0	0	0	0	0	0	0	0	0
Er168Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006459003	0.012335449	1	0.001906565	0.004341753	0	0	0	0	0	0	0	0	0	0	0
Tm169Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025816	1	0.002181763	0	0	0	0	0	0	0	0	0	0	0
Er170Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000149993	0	0.000102086	0	0.003288996	0.002736678	0.005102133	0.000328828	1	0.002296464	0	0	0	0	0	0	0	0	0	0
Yb171Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001094841	1	0.039785004	0.003785105	0.004120126	0	0.001400214	0	0	0	0	0
Yb172Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002324427	1	0.023658923	0.005662284	0	0.001231389	0	0	0	0	0
Yb173Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00058603	0.003122227	0.014518065	1	0.036705194	0	0.003144905	0	0	0	0	0
Yb174Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000293295	0.000992504	0.0025671	1	0.002528715	0.004509349	0	0	0	0	0
Lu175Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000358267	1	0.005542569	0	4.68E-05	0	0	0
Yb176Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.36E-05	0	0	0.000146007	0.000394488	0.00045193	0.002056437	0.000316171	1	0	0	0	0	0
BCKG190Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Ir191Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ir193Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.575696615	1	0	0
Pt194Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Pb208Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
